node_name,count,mean,std,min,25%,50%,75%,max
6764465,46917.0,267.3292616748726,8.509781986029328,250.0,263.33,265.83,270.0,365.0
06764465,8928.0,267.52746527777776,11.026738757198055,255.0,263.33,265.0,267.5,357.5
184b905d,55832.0,280.8803575010747,30.581688009941892,260.0,270.0,275.83,282.5,885.83
3a4828f5,55845.0,320.1711526546692,163.48281985855417,230.0,254.17,260.83,268.33,852.5
46362b76,55845.0,312.41260112812245,78.62109187530648,257.5,267.5,278.33,335.0,652.5
4985a7cf,55845.0,249.22618175306647,58.67016709303401,210.0,215.0,220.0,234.17,454.17
4d8b845e,55845.0,294.1056268242457,52.151937306625655,260.0,275.0,280.0,285.83,606.67
578d99bd,95581.0,261.06537156966345,9.769625903603577,210.0,255.83,260.0,264.17,361.67
6342c79e,21409.0,272.92771124293523,60.022227452834464,253.33,260.83,262.5,265.0,880.83
668c569c,21409.0,270.6640632444299,22.974444943692788,216.67,260.83,262.5,265.83,386.67
7c804642,55845.0,295.31053182917003,172.1569014091007,144.17,217.5,220.0,227.5,786.67
972da8ab,46018.0,290.4142346473119,7.665354608848996,260.83,286.67,290.0,294.17,550.0
a484c600,90130.0,266.5340423832243,10.447836370833452,225.0,260.0,265.0,269.17,452.5
a639d055,55845.0,280.134475602113,38.11617653346814,254.17,265.0,278.33,284.17,635.83
a9e38583,55845.0,307.6914893007431,64.51201910053285,255.0,277.5,284.17,293.33,635.0
bb1bcaff,55845.0,313.5899444892112,145.03651568120785,250.0,259.17,261.67,266.67,857.5
c9900ab9,95685.0,293.75792475309606,29.28269271235157,180.0,270.0,285.0,298.33,390.0
d35334d1,54658.0,339.78013996121337,101.86228253077543,253.33,262.5,274.17,417.5,817.5
d8d6d1e0,55845.0,294.9282920583759,23.87338253448149,263.33,285.83,290.0,295.83,746.67
dda1bb77,55845.0,319.95336914674544,56.07348544095702,250.0,275.0,315.83,330.83,574.17
fb77ceef,55845.0,264.89222258035636,4.194548712319717,218.33,261.67,264.17,267.5,320.0
